Date,nysecomp,nasdaqcomp,hangsengind,shanghaicomp,euronext,nikkei,bitcoin,dogecoin,ethereum,crudeoil,ngas
2017-08-11,11763.219729999999,6256.560059,26883.50977,3208.541016,986.179993,19729.74023,3650.6201171875,0.0018801300320774321,308.864013671875,48.82,2.96
2017-08-14,11856.05957,6340.22998,27250.23047,3237.360107,996.4600220000001,19537.09961,4325.1298828125,0.001762449974194169,300.09698486328125,47.59,3.0200000000000014
2017-08-15,11843.48047,6333.009765999999,27174.960939999997,3251.261963,999.599976,19753.31055,4181.93017578125,0.0017379700439050796,289.8179931640625,47.549999,2.96
2017-08-16,11868.86035,6345.109863000001,27409.070310000003,3246.450928,1006.3800050000001,19729.2793,4376.6298828125,0.0017743899952620266,302.2669982910156,46.779999,2.9400000000000013
2017-08-17,11712.719729999999,6221.910156,27344.2207,3268.429932,1002.73999,19702.63086,4331.68994140625,0.0017102999845519662,301.4570007324219,47.09,2.9099999999999997
2017-08-18,11699.83008,6216.529785,27047.570310000003,3268.724121,995.8099980000001,19470.41016,4160.6201171875,0.0016780700534582136,295.5899963378906,48.509997999999996,2.9
2017-08-21,11719.26953,6213.129883,27154.679689999997,3286.9060059999997,990.919983,19393.13086,4001.739990234375,0.0017118300311267376,321.59100341796875,47.369999,3.0
2017-08-22,11805.29004,6297.47998,27401.66992,3290.2260739999997,999.2199710000001,19383.83984,4100.52001953125,0.0017160499701276422,314.7850036621094,47.639998999999996,3.0
2017-08-24,11773.799809999999,6271.330078,27518.59961,3271.511963,994.8900150000001,19353.76953,4334.68017578125,0.0018163699423894288,325.6109924316406,47.43,2.9700000000000006
2017-08-25,11812.030270000001,6265.640136999999,27848.160160000003,3331.521973,992.5,19452.60938,4371.60009765625,0.0017896200297400355,331.9150085449219,47.869999,2.93
2017-08-28,11800.219729999999,6283.02002,27863.289060000003,3362.650879,987.2299800000001,19449.90039,4382.66015625,0.0018246800173074007,347.74700927734375,46.57,2.9500000000000015
2017-08-29,11791.87988,6301.890136999999,27765.00977,3365.226074,979.0300289999999,19362.55078,4579.02001953125,0.0018669100245460868,370.6669921875,46.439999,2.9500000000000015
2017-08-30,11805.07031,6368.310059,28094.60938,3363.626953,985.73999,19506.53906,4565.2998046875,0.0021052199881523848,378.4849853515625,45.959998999999996,2.9500000000000015
2017-08-31,11875.69043,6428.660156,27970.30078,3360.8100590000004,991.6199949999999,19646.24023,4703.39013671875,0.0020635200198739767,383.0419921875,47.23,2.9199999999999995
2017-09-01,11918.08008,6435.330078,27953.160160000003,3367.118896,997.51001,19691.4707,4892.009765625,0.0025433700066059828,387.7409973144531,47.290001000000004,2.88
2017-09-05,11827.15039,6375.569824,27741.34961,3384.3168950000004,992.580017,19385.81055,4376.52978515625,0.0019075400196015837,312.9880065917969,48.66,2.88
2017-09-06,11872.91992,6393.310059,27613.75977,3385.3889159999994,995.080017,19357.9707,4597.1201171875,0.00201854994520545,334.3380126953125,49.16,2.979999999999999
2017-09-07,11879.61035,6397.870117,27522.91992,3365.4970700000003,998.820007,19396.51953,4599.8798828125,0.0019275000086054208,329.4280090332031,49.09,2.9199999999999995
2017-09-08,11887.98047,6360.189941,27668.4707,3365.24292,999.8900150000001,19274.82031,4228.75,0.0015958399744704366,296.49700927734375,47.48,2.88
2017-09-11,12010.26953,6432.259765999999,27955.13086,3376.4189450000003,1010.919983,19545.76953,4161.27001953125,0.0014631799422204494,294.5320129394531,48.07,2.88
2017-09-12,12057.12012,6454.279785,27972.24023,3379.4880369999996,1016.080017,19776.61914,4130.81005859375,0.0014397699851542713,291.4639892578125,48.23,2.88
